date,sales,promo,day_of_week,month,is_weekend
2022-01-01,120,0,5,1,1
2022-01-02,110,0,6,1,1
2022-01-03,85,0,0,1,0
2022-01-04,88,0,1,1,0
2022-01-05,82,0,2,1,0
2022-01-06,74,0,3,1,0
2022-01-07,102,0,4,1,0
2022-01-08,99,0,5,1,1
2022-01-09,106,0,6,1,1
2022-01-10,83,0,0,1,0
2022-01-11,92,0,1,1,0
2022-01-12,99,0,2,1,0
2022-01-13,96,0,3,1,0
2022-01-14,102,0,4,1,0
2022-01-15,107,0,5,1,1
2022-01-16,108,0,6,1,1
2022-01-17,85,0,0,1,0
2022-01-18,84,0,1,1,0
2022-01-19,84,0,2,1,0
2022-01-20,84,0,3,1,0
2022-01-21,94,0,4,1,0
2022-01-22,121,0,5,1,1
2022-01-23,102,0,6,1,1
2022-01-24,82,0,0,1,0
2022-01-25,76,0,1,1,0
2022-01-26,100,0,2,1,0
2022-01-27,82,0,3,1,0
2022-01-28,104,0,4,1,0
2022-01-29,118,0,5,1,1
2022-01-30,122,0,6,1,1
2022-01-31,88,0,0,1,0
2022-02-01,82,0,1,2,0
2022-02-02,78,0,2,2,0
2022-02-03,68,0,3,2,0
2022-02-04,102,0,4,2,0
2022-02-05,122,0,5,2,1
2022-02-06,117,0,6,2,1
2022-02-07,79,0,0,2,0
2022-02-08,100,0,1,2,0
2022-02-09,86,0,2,2,0
2022-02-10,85,0,3,2,0
2022-02-11,96,0,4,2,0
2022-02-12,118,0,5,2,1
2022-02-13,103,0,6,2,1
2022-02-14,152,1,0,2,0
2022-02-15,156,1,1,2,0
2022-02-16,162,1,2,2,0
2022-02-17,95,0,3,2,0
2022-02-18,93,0,4,2,0
2022-02-19,120,0,5,2,1
2022-02-20,108,0,6,2,1
2022-02-21,86,0,0,2,0
2022-02-22,84,0,1,2,0
2022-02-23,80,0,2,2,0
2022-02-24,91,0,3,2,0
2022-02-25,115,0,4,2,0
2022-02-26,139,0,5,2,1
2022-02-27,113,0,6,2,1
2022-02-28,105,0,0,2,0
