date,actual,Naive,SeasonalNaive,MovingAvg(7),HoltWinters,SARIMA,Prophet,XGBoost
2024-11-02,184,161,139,127.85714285714286,165.11269978193192,163.45048821201223,161.00180931644525,154.885
2024-11-03,150,161,133,127.85714285714286,159.56972806661906,152.14838604700512,157.21505468001692,152.90369
2024-11-04,146,161,110,127.85714285714286,136.25523647962424,125.67329050289048,135.6142832663847,123.1349
2024-11-05,134,161,110,127.85714285714286,136.0760431643095,123.74709592933725,137.0644390773171,125.09752
2024-11-06,149,161,123,127.85714285714286,137.25612142375033,123.99462052442115,139.78396696504961,120.69311
2024-11-07,140,161,119,127.85714285714286,138.73182094479364,124.92905204192608,142.6770048064014,125.948006
2024-11-08,152,161,161,127.85714285714286,152.4718141777667,138.4259887328617,157.69203269006144,146.11575
2024-11-09,157,161,139,127.85714285714286,165.42818682356886,151.17352750318747,171.62523508187263,150.5236
2024-11-10,160,161,133,127.85714285714286,159.88521510825598,145.51925119314666,167.10497373085542,148.28561
2024-11-11,142,161,110,127.85714285714286,136.5707235212612,122.14878877862307,144.65178697205118,129.30853
2024-11-12,152,161,110,127.85714285714286,136.39153020594642,121.92981534348188,145.15818902836023,129.29759
2024-11-13,135,161,123,127.85714285714286,137.57160846538727,123.09248567403982,146.87269010301753,127.30965
2024-11-14,137,161,119,127.85714285714286,139.04730798643058,124.55433663266315,148.7311390429469,130.13046
2024-11-15,159,161,161,127.85714285714286,152.78730121940362,138.27813256644214,162.71447110771302,144.4744
2024-11-16,159,161,139,127.85714285714286,165.7436738652058,151.20297833959543,175.65114168216397,141.57018
2024-11-17,172,161,133,127.85714285714286,160.20070214989292,145.64617447760415,170.2006694466989,145.16954
2024-11-18,141,161,110,127.85714285714286,136.88621056289813,122.3293103166946,146.91273057653737,132.33818
2024-11-19,143,161,110,127.85714285714286,136.70701724758337,122.13981074380862,146.70610293329693,134.55164
2024-11-20,144,161,123,127.85714285714286,137.88709550702418,123.31864100050288,147.85190514020556,129.12527
2024-11-21,136,161,119,127.85714285714286,139.36279502806752,124.78942730120768,149.3042544883098,129.3606
2024-11-22,154,161,161,127.85714285714286,153.10278826104056,138.5180089846271,163.05744582093968,173.24998
2024-11-23,159,161,139,127.85714285714286,166.05916090684275,151.44559281810822,175.947948741652,171.9839
2024-11-24,158,161,133,127.85714285714286,160.51618919152986,145.89029456834052,170.637659595498,166.30571
2024-11-25,145,161,110,127.85714285714286,137.20169760453504,122.57425834583697,147.67285878801073,129.94963
2024-11-26,143,161,110,127.85714285714286,137.0225042892203,122.38521405993784,147.96317719845453,134.94783
2024-11-27,140,161,123,127.85714285714286,138.20258254866113,123.56429458412377,149.76501702441803,126.06155
2024-11-28,130,161,119,127.85714285714286,139.67828206970444,125.03521860707238,152.01254707934086,121.71446
2024-11-29,242,161,161,127.85714285714286,153.4182753026775,138.763875765889,166.6753664876095,164.87209
2024-11-30,167,161,139,127.85714285714286,166.37464794847966,151.69150131886,180.56112185802007,154.24387
2024-12-01,188,161,133,127.85714285714286,160.8316762331668,146.13622601070966,176.2994983821833,173.33759
2024-12-02,151,161,110,127.85714285714286,137.51718464617198,122.82020240389696,154.402016111793,134.75038
2024-12-03,153,161,110,127.85714285714286,137.33799133085722,122.63116505542362,155.7419130715581,135.16164
2024-12-04,161,161,123,127.85714285714286,138.51806959029807,123.8102493943356,158.53853625645664,138.51498
2024-12-05,161,161,119,127.85714285714286,139.99376911134138,125.28117551521986,161.689334710208,146.30652
2024-12-06,157,161,161,127.85714285714286,153.73376234431444,139.00983382717737,177.12852197701505,161.6081
2024-12-07,186,161,139,127.85714285714286,166.6901349901166,151.93746001470134,191.63066624140137,170.35161
2024-12-08,177,161,133,127.85714285714286,161.14716327480372,146.38218505549435,187.79560245876075,173.37173
2024-12-09,173,161,110,127.85714285714286,137.83267168780893,123.06616164056716,166.10907290989388,148.45564
2024-12-10,162,161,110,127.85714285714286,137.65347837249416,122.87712439761253,167.42335502067226,146.77327
2024-12-11,163,161,123,127.85714285714286,138.833556631935,124.05620879454935,169.94227729401456,148.49884
2024-12-12,163,161,119,127.85714285714286,140.30925615297832,125.52713494734213,172.55370052065004,147.32697
2024-12-13,160,161,161,127.85714285714286,154.04924938595136,139.25579327684522,187.1885181509862,156.49167
2024-12-14,200,161,139,127.85714285714286,167.00562203175355,152.18341947401848,200.6244247229313,165.9748
2024-12-15,169,161,133,127.85714285714286,161.46265031644066,146.6281445201177,195.47084146192194,161.95642
2024-12-16,166,161,110,127.85714285714286,138.14815872944584,123.31212110810843,172.22940467886934,139.35915
2024-12-17,165,161,110,127.85714285714286,137.9689654141311,123.12308386675836,171.77427938432882,148.46246
2024-12-18,156,161,123,127.85714285714286,139.14904367357192,124.30216826457753,172.33670683570207,139.23528
2024-12-19,165,161,119,127.85714285714286,140.62474319461526,125.77309441785552,172.83687512119013,147.07639
2024-12-20,167,161,161,127.85714285714286,154.3647364275883,139.50175274762543,185.2421823414822,168.64465
2024-12-21,179,161,139,127.85714285714286,167.32110907339046,152.4293789449454,196.3701602765263,185.33313
2024-12-22,186,161,133,127.85714285714286,161.7781373580776,146.87410399112528,188.87246944066894,181.50545
2024-12-23,282,161,110,127.85714285714286,138.46364577108278,123.55808057916036,163.2943951450086,210.80585
2024-12-24,218,161,110,127.85714285714286,138.28445245576805,123.36904333783471,160.55413253443308,202.16888
2024-12-25,215,161,123,127.85714285714286,139.46453071520887,124.5481277356673,158.92629573541257,202.0004
2024-12-26,157,161,119,127.85714285714286,140.94023023625218,126.01905388895266,157.37276679779353,151.30118
2024-12-27,174,161,161,127.85714285714286,154.68022346922524,139.74771221872663,167.89998002483762,163.4738
2024-12-28,180,161,139,127.85714285714286,167.6365961150274,152.67533841604885,177.36093437222405,160.86093
2024-12-29,181,161,133,127.85714285714286,162.0936243997145,147.12006346222995,168.43836772364233,164.31505
2024-12-30,156,161,110,127.85714285714286,138.77913281271972,123.8040400502657,141.7035430731363,79.40981
2024-12-31,172,161,110,127.85714285714286,138.59993949740496,123.61500280894043,138.09495198017666,85.37552
